record_id ,date       ,timestamp ,intersection_id ,intersection_name  ,latitude ,longitude ,vehicle_count ,average_speed ,signal_cycle_time ,green_time ,yellow_time ,red_time ,weather_condition ,day_of_week ,is_weekend ,is_holiday ,event                ,pollution_level ,car_count ,bus_count ,truck_count ,motorcycle_count
4361      ,04-01-2023 ,00:40:00  ,1               ,Civil Lines        ,25.45    ,81.83     ,92            ,32.07         ,120               ,57         ,4           ,59       ,Light Rain        ,Wednesday   ,workday    ,0          ,NA                   ,1.99            ,56        ,9         ,13          ,14
1632      ,02-01-2023 ,03:10:00  ,2               ,Katra              ,25.46    ,81.85     ,113           ,33.53         ,120               ,54         ,3           ,63       ,Clear             ,Monday      ,workday    ,0          ,NA                   ,2.18            ,75        ,10        ,11          ,17
6403      ,05-01-2023 ,10:40:00  ,3               ,Chowk              ,25.43    ,81.84     ,74            ,40.46         ,120               ,60         ,5           ,55       ,Clear             ,Thursday    ,workday    ,1          ,NA                   ,1.37            ,38        ,5         ,9           ,22
2572      ,02-01-2023 ,18:50:00  ,2               ,Katra              ,25.46    ,81.85     ,208           ,25.63         ,120               ,74         ,5           ,41       ,Cold Wave         ,Monday      ,workday    ,0          ,NA                   ,4.7             ,116       ,29        ,21          ,42
5989      ,05-01-2023 ,03:40:00  ,9               ,MNNIT Gate         ,25.49    ,81.86     ,91            ,36.89         ,120               ,59         ,3           ,58       ,Clear             ,Thursday    ,workday    ,1          ,NA                   ,1.79            ,47        ,9         ,9           ,26
8006      ,06-01-2023 ,13:20:00  ,6               ,Allahabad Junction ,NA       ,81.83     ,165           ,13.89         ,120               ,86         ,4           ,30       ,Clear             ,Friday      ,workday    ,0          ,Roadwork             ,3.32            ,93        ,16        ,18          ,38
4287      ,03-01-2023 ,23:20:00  ,7               ,Phaphamau          ,25.49    ,81.87     ,67            ,42.18         ,120               ,61         ,3           ,56       ,Clear             ,Tuesday     ,workday    ,0          ,NA                   ,1.27            ,40        ,8         ,3           ,16
8319      ,06-01-2023 ,18:30:00  ,9               ,MNNIT Gate         ,25.49    ,81.86     ,168           ,27.2          ,120               ,79         ,5           ,36       ,Clear             ,Friday      ,workday    ,0          ,NA                   ,3.53            ,95        ,20        ,16          ,37
988       ,01-01-2023 ,16:20:00  ,8               ,Jhunsi             ,25.43    ,81.91     ,39            ,42.95         ,120               ,64         ,6           ,50       ,Clear             ,Sunday      ,weekend    ,1          ,NA                   ,0.84            ,22        ,6         ,2           ,9
8230      ,06-01-2023 ,17:00:00  ,10              ,Minto Park         ,25.44    ,81.88     ,207           ,24.58         ,120               ,81         ,4           ,NA       ,Light Rain        ,Friday      ,workday    ,0          ,NA                   ,4.29            ,125       ,24        ,19          ,39
4338      ,04-01-2023 ,00:10:00  ,8               ,Jhunsi             ,25.43    ,81.91     ,50            ,42.92         ,120               ,64         ,4           ,52       ,Clear             ,Wednesday   ,workday    ,0          ,NA                   ,1.08            ,29        ,5         ,7           ,9
1046      ,01-01-2023 ,17:20:00  ,6               ,Allahabad Junction ,25.44    ,81.83     ,67            ,37.2          ,120               ,63         ,4           ,53       ,Heatwave          ,Sunday      ,weekend    ,1          ,NA                   ,1.04            ,45        ,5         ,2           ,15
9434      ,07-01-2023 ,13:10:00  ,4               ,Tagore Town        ,25.47    ,NA        ,131           ,34.84         ,120               ,60         ,3           ,57       ,Clear             ,Saturday    ,weekend    ,0          ,NA                   ,2.76            ,78        ,14        ,15          ,24
296       ,01-01-2023 ,04:50:00  ,6               ,Allahabad Junction ,25.44    ,81.83     ,16            ,54.07         ,120               ,55         ,1           ,64       ,Heatwave          ,Sunday      ,weekend    ,1          ,NA                   ,0.22            ,13        ,1         ,0           ,2
6396      ,05-01-2023 ,10:30:00  ,6               ,Allahabad Junction ,25.44    ,81.83     ,115           ,29.92         ,120               ,64         ,4           ,52       ,Light Rain        ,Thursday    ,workday    ,1          ,NA                   ,2.09            ,71        ,8         ,12          ,24
NA        ,06-01-2023 ,20:30:00  ,NA              ,Chowk              ,25.43    ,81.84     ,189           ,22.7          ,120               ,81         ,6           ,33       ,Light Rain        ,Friday      ,workday    ,0          ,Local Market Fair    ,3.61            ,121       ,18        ,16          ,34
2842      ,02-01-2023 ,23:20:00  ,2               ,Katra              ,25.46    ,81.85     ,162           ,29.34         ,120               ,72         ,5           ,43       ,Light Rain        ,Monday      ,workday    ,0          ,NA                   ,3.24            ,94        ,14        ,20          ,34
7884      ,06-01-2023 ,11:20:00  ,4               ,Tagore Town        ,25.47    ,81.89     ,43            ,41.94         ,120               ,64         ,4           ,52       ,Clear             ,Friday      ,workday    ,0          ,Local Market Fair    ,0.69            ,31        ,3         ,2           ,7
3719      ,03-01-2023 ,13:50:00  ,9               ,MNNIT Gate         ,25.49    ,81.86     ,66            ,41.05         ,120               ,56         ,5           ,59       ,Clear             ,Tuesday     ,workday    ,0          ,NA                   ,1.66            ,34        ,11        ,8           ,13
5930      ,05-01-2023 ,02:40:00  ,10              ,Minto Park         ,25.44    ,81.88     ,90            ,40.05         ,120               ,68         ,5           ,47       ,Clear             ,Thursday    ,workday    ,1          ,NA                   ,1.54            ,48        ,6         ,8           ,28
4116      ,03-01-2023 ,20:30:00  ,6               ,Allahabad Junction ,25.44    ,81.83     ,195           ,24.71         ,120               ,85         ,3           ,32       ,Clear             ,Tuesday     ,workday    ,0          ,NA                   ,4.13            ,119       ,20        ,24          ,32
6012      ,05-01-2023 ,04:10:00  ,2               ,Katra              ,25.46    ,81.85     ,38            ,42.4          ,120               ,60         ,5           ,55       ,Heatwave          ,Thursday    ,workday    ,1          ,NA                   ,0.51            ,28        ,1         ,2           ,7
4189      ,03-01-2023 ,21:40:00  ,9               ,MNNIT Gate         ,25.49    ,81.86     ,112           ,36.2          ,120               ,65         ,NA          ,51       ,Clear             ,Tuesday     ,workday    ,0          ,NA                   ,2.22            ,57        ,14        ,7           ,34
1267      ,01-01-2023 ,21:00:00  ,7               ,Phaphamau          ,25.49    ,81.87     ,91            ,34.97         ,120               ,66         ,4           ,50       ,Clear             ,Sunday      ,weekend    ,1          ,NA                   ,1.73            ,58        ,9         ,7           ,NA
2552      ,02-01-2023 ,18:30:00  ,2               ,Katra              ,25.46    ,81.85     ,82            ,33.21         ,120               ,58         ,5           ,57       ,Light Rain        ,Monday      ,workday    ,0          ,NA                   ,1.78            ,48        ,8         ,12          ,14
4173      ,03-01-2023 ,21:30:00  ,3               ,Chowk              ,25.43    ,81.84     ,95            ,36.14         ,120               ,57         ,4           ,59       ,Clear             ,Tuesday     ,workday    ,0          ,NA                   ,1.94            ,60        ,11        ,8           ,16
4503      ,04-01-2023 ,03:00:00  ,3               ,Chowk              ,25.43    ,81.84     ,85            ,35.17         ,120               ,68         ,4           ,48       ,Heatwave          ,Wednesday   ,workday    ,0          ,NA                   ,1.74            ,50        ,10        ,7           ,18
3453      ,03-01-2023 ,09:30:00  ,3               ,Chowk              ,25.43    ,81.84     ,210           ,17.47         ,120               ,78         ,3           ,39       ,Heavy Rain        ,Tuesday     ,workday    ,0          ,NA                   ,4.79            ,122       ,28        ,24          ,36
993       ,01-01-2023 ,16:30:00  ,3               ,Chowk              ,25.43    ,81.84     ,43            ,31.42         ,120               ,65         ,2           ,53       ,Heavy Rain        ,Sunday      ,weekend    ,1          ,NA                   ,0.83            ,27        ,4         ,4           ,8
1713      ,02-01-2023 ,04:30:00  ,3               ,Chowk              ,25.43    ,81.84     ,39            ,46.79         ,120               ,54         ,5           ,61       ,Clear             ,Monday      ,workday    ,0          ,NA                   ,0.94            ,21        ,5         ,6           ,7
8608      ,06-01-2023 ,23:20:00  ,8               ,Jhunsi             ,25.43    ,81.91     ,97            ,35.69         ,120               ,63         ,4           ,53       ,Clear             ,Friday      ,workday    ,0          ,NA                   ,1.92            ,62        ,11        ,7           ,17
8964      ,07-01-2023 ,05:20:00  ,4               ,NA                 ,25.47    ,81.89     ,70            ,37.11         ,120               ,64         ,4           ,52       ,Heatwave          ,Saturday    ,weekend    ,0          ,NA                   ,1.28            ,47        ,5         ,7           ,11
NA        ,07-01-2023 ,00:10:00  ,6               ,Allahabad Junction ,25.44    ,81.83     ,80            ,39.58         ,120               ,58         ,4           ,58       ,Clear             ,Saturday    ,weekend    ,0          ,NA                   ,1.73            ,49        ,8         ,11          ,12
7707      ,06-01-2023 ,08:20:00  ,7               ,Phaphamau          ,25.49    ,81.87     ,353           ,10.64         ,120               ,77         ,6           ,37       ,Clear             ,Friday      ,workday    ,0          ,Roadwork             ,6.82            ,212       ,35        ,30          ,76
3537      ,03-01-2023 ,10:50:00  ,7               ,Phaphamau          ,25.49    ,81.87     ,164           ,20.35         ,120               ,82         ,4           ,34       ,Heavy Rain        ,Tuesday     ,workday    ,0          ,NA                   ,3.7             ,NA        ,24        ,14          ,26
8604      ,06-01-2023 ,23:20:00  ,4               ,Tagore Town        ,25.47    ,81.89     ,159           ,31.2          ,120               ,83         ,4           ,33       ,Clear             ,Friday      ,workday    ,0          ,Local Market Fair    ,3.03            ,102       ,14        ,15          ,28
9092      ,07-01-2023 ,07:30:00  ,2               ,Katra              ,25.46    ,81.85     ,238           ,23.83         ,120               ,77         ,5           ,38       ,Cold Wave         ,Saturday    ,weekend    ,0          ,NA                   ,4.54            ,153       ,25        ,16          ,44
1910      ,02-01-2023 ,07:40:00  ,10              ,Minto Park         ,25.44    ,81.88     ,216           ,25.88         ,120               ,84         ,5           ,31       ,Clear             ,Monday      ,workday    ,0          ,NA                   ,4.14            ,129       ,20        ,20          ,47
7483      ,06-01-2023 ,04:40:00  ,3               ,Chowk              ,25.43    ,81.84     ,238           ,12.18         ,120               ,79         ,NA          ,36       ,Clear             ,Friday      ,workday    ,0          ,Roadwork             ,NA              ,135       ,27        ,25          ,51
8701      ,07-01-2023 ,01:00:00  ,1               ,Civil Lines        ,25.45    ,81.83     ,180           ,13.47         ,120               ,85         ,6           ,29       ,Clear             ,Saturday    ,weekend    ,0          ,Accident             ,3.49            ,117       ,11        ,26          ,26
9396      ,07-01-2023 ,12:30:00  ,6               ,Allahabad Junction ,25.44    ,81.83     ,59            ,43.69         ,120               ,52         ,5           ,63       ,Clear             ,Saturday    ,weekend    ,0          ,NA                   ,1               ,38        ,5         ,3           ,13
6147      ,05-01-2023 ,06:20:00  ,7               ,Phaphamau          ,25.49    ,81.87     ,52            ,45.69         ,120               ,58         ,6           ,56       ,Clear             ,Thursday    ,workday    ,1          ,NA                   ,1.24            ,31        ,7         ,7           ,7
2173      ,02-01-2023 ,12:10:00  ,3               ,Chowk              ,25.43    ,81.84     ,112           ,31.48         ,120               ,71         ,3           ,46       ,Cold Wave         ,Monday      ,workday    ,0          ,NA                   ,2.34            ,67        ,14        ,9           ,22
6647      ,05-01-2023 ,14:40:00  ,7               ,Phaphamau          ,25.49    ,81.87     ,56            ,38.53         ,120               ,55         ,3           ,NA       ,Clear             ,Thursday    ,workday    ,1          ,NA                   ,1.11            ,34        ,7         ,3           ,12
5095      ,04-01-2023 ,12:50:00  ,5               ,Naini Bridge       ,25.41    ,81.86     ,153           ,15.1          ,120               ,79         ,3           ,38       ,Clear             ,Wednesday   ,workday    ,0          ,Accident             ,2.66            ,96        ,10        ,14          ,33
517       ,01-01-2023 ,08:30:00  ,7               ,Phaphamau          ,25.49    ,81.87     ,108           ,33.46         ,120               ,58         ,4           ,58       ,Clear             ,Sunday      ,weekend    ,1          ,NA                   ,2.05            ,75        ,8         ,12          ,13
2371      ,02-01-2023 ,15:30:00  ,1               ,Civil Lines        ,25.45    ,81.83     ,118           ,29.87         ,120               ,62         ,4           ,54       ,Clear             ,Monday      ,workday    ,0          ,NA                   ,2.82            ,60        ,17        ,15          ,26
7843      ,06-01-2023 ,10:40:00  ,3               ,Chowk              ,25.43    ,81.84     ,88            ,37.52         ,120               ,53         ,4           ,63       ,Clear             ,Friday      ,workday    ,0          ,Local Market Fair    ,1.73            ,59        ,8         ,9           ,12
9992      ,07-01-2023 ,22:30:00  ,2               ,Katra              ,25.46    ,81.85     ,56            ,33.75         ,120               ,64         ,4           ,52       ,Fog               ,Saturday    ,weekend    ,0          ,NA                   ,1.03            ,33        ,4         ,6           ,13
1927      ,02-01-2023 ,08:00:00  ,7               ,Phaphamau          ,25.49    ,81.87     ,178           ,30.59         ,120               ,77         ,4           ,39       ,Clear             ,Monday      ,workday    ,0          ,NA                   ,3.32            ,111       ,14        ,18          ,35
4490      ,04-01-2023 ,02:40:00  ,10              ,Minto Park         ,25.44    ,81.88     ,106           ,33.36         ,120               ,55         ,3           ,62       ,Clear             ,Wednesday   ,workday    ,0          ,NA                   ,1.92            ,62        ,10        ,7           ,27
6527      ,05-01-2023 ,12:40:00  ,7               ,Phaphamau          ,25.49    ,81.87     ,155           ,14.45         ,120               ,77         ,3           ,40       ,Clear             ,Thursday    ,workday    ,1          ,Roadwork             ,3.16            ,95        ,16        ,16          ,28
3921      ,03-01-2023 ,17:20:00  ,1               ,Civil Lines        ,25.45    ,81.83     ,203           ,25.86         ,120               ,73         ,4           ,43       ,Clear             ,Tuesday     ,workday    ,0          ,NA                   ,3.91            ,118       ,21        ,16          ,48
856       ,01-01-2023 ,14:10:00  ,6               ,Allahabad Junction ,25.44    ,81.83     ,35            ,40.34         ,120               ,61         ,3           ,56       ,Fog               ,Sunday      ,weekend    ,1          ,NA                   ,0.51            ,28        ,2         ,1           ,4
1859      ,02-01-2023 ,06:50:00  ,9               ,MNNIT Gate         ,NA       ,81.86     ,151           ,32.35         ,120               ,73         ,4           ,43       ,Clear             ,Monday      ,workday    ,0          ,NA                   ,3.03            ,96        ,17        ,12          ,26
5485      ,04-01-2023 ,19:20:00  ,5               ,Naini Bridge       ,25.41    ,81.86     ,194           ,24.33         ,120               ,80         ,5           ,35       ,Light Rain        ,Wednesday   ,workday    ,0          ,NA                   ,3.96            ,113       ,19        ,22          ,40
5473      ,04-01-2023 ,19:10:00  ,3               ,Chowk              ,25.43    ,81.84     ,240           ,23.13         ,120               ,88         ,2           ,30       ,Clear             ,Wednesday   ,workday    ,0          ,NA                   ,4.76            ,153       ,25        ,21          ,41
2290      ,02-01-2023 ,14:00:00  ,10              ,Minto Park         ,25.44    ,81.88     ,47            ,41.4          ,120               ,62         ,4           ,54       ,Heatwave          ,Monday      ,workday    ,0          ,NA                   ,1.12            ,25        ,8         ,4           ,10
9611      ,07-01-2023 ,16:10:00  ,1               ,Civil Lines        ,25.45    ,81.83     ,84            ,38.58         ,120               ,60         ,7           ,53       ,Clear             ,Saturday    ,weekend    ,0          ,NA                   ,1.65            ,48        ,7         ,10          ,19
1144      ,01-01-2023 ,19:00:00  ,4               ,Tagore Town        ,25.47    ,81.89     ,78            ,39.75         ,120               ,58         ,4           ,58       ,Clear             ,Sunday      ,weekend    ,1          ,NA                   ,1.42            ,46        ,5         ,9           ,18
5545      ,04-01-2023 ,20:20:00  ,5               ,Naini Bridge       ,25.41    ,81.86     ,221           ,24.83         ,120               ,84         ,6           ,30       ,Clear             ,Wednesday   ,workday    ,0          ,NA                   ,4.31            ,132       ,18        ,26          ,45
6884      ,05-01-2023 ,18:40:00  ,4               ,Tagore Town        ,25.47    ,81.89     ,86            ,37.75         ,120               ,66         ,5           ,49       ,Clear             ,Thursday    ,workday    ,1          ,NA                   ,1.93            ,58        ,10        ,11          ,7
520       ,01-01-2023 ,08:30:00  ,10              ,Minto Park         ,25.44    ,81.88     ,84            ,33.22         ,120               ,50         ,5           ,65       ,Clear             ,Sunday      ,weekend    ,1          ,NA                   ,1.68            ,49        ,5         ,14          ,16
8098      ,06-01-2023 ,14:50:00  ,8               ,Jhunsi             ,25.43    ,81.91     ,151           ,30.99         ,120               ,81         ,7           ,32       ,Clear             ,Friday      ,workday    ,0          ,NA                   ,3.22            ,99        ,19        ,13          ,20
8152      ,06-01-2023 ,15:50:00  ,2               ,Katra              ,25.46    ,81.85     ,111           ,33.88         ,120               ,64         ,5           ,51       ,NA                ,Friday      ,workday    ,0          ,NA                   ,2.32            ,70        ,10        ,15          ,16
8142      ,06-01-2023 ,15:40:00  ,2               ,Katra              ,25.46    ,NA        ,96            ,37.39         ,120               ,56         ,3           ,61       ,Clear             ,Friday      ,workday    ,0          ,NA                   ,1.97            ,54        ,9         ,12          ,21
9617      ,07-01-2023 ,16:10:00  ,7               ,Phaphamau          ,25.49    ,81.87     ,96            ,17.89         ,120               ,63         ,6           ,51       ,Clear             ,Saturday    ,weekend    ,0          ,Roadwork             ,1.95            ,58        ,11        ,8           ,19
8902      ,07-01-2023 ,04:20:00  ,2               ,Katra              ,25.46    ,81.85     ,76            ,36.22         ,120               ,62         ,4           ,54       ,Light Rain        ,Saturday    ,weekend    ,0          ,NA                   ,1.9             ,40        ,12        ,10          ,14
8957      ,07-01-2023 ,05:10:00  ,7               ,Phaphamau          ,25.49    ,81.87     ,77            ,40.74         ,120               ,62         ,4           ,54       ,Clear             ,Saturday    ,weekend    ,0          ,NA                   ,1.57            ,49        ,11        ,3           ,14
3337      ,03-01-2023 ,07:30:00  ,7               ,Phaphamau          ,25.49    ,81.87     ,195           ,27.06         ,120               ,76         ,4           ,40       ,Clear             ,Tuesday     ,workday    ,0          ,NA                   ,3.25            ,131       ,9         ,20          ,35
7694      ,06-01-2023 ,08:10:00  ,4               ,Tagore Town        ,25.47    ,81.89     ,211           ,26.34         ,120               ,75         ,4           ,41       ,Heatwave          ,Friday      ,workday    ,0          ,Local Market Fair    ,4.22            ,129       ,23        ,18          ,41
881       ,01-01-2023 ,14:40:00  ,1               ,Civil Lines        ,25.45    ,81.83     ,45            ,42.43         ,120               ,51         ,4           ,65       ,Cold Wave         ,Sunday      ,weekend    ,1          ,New Year Celebration ,0.7             ,30        ,3         ,2           ,10
8145      ,06-01-2023 ,15:40:00  ,5               ,Naini Bridge       ,25.41    ,81.86     ,123           ,32.16         ,120               ,62         ,6           ,52       ,Clear             ,Friday      ,workday    ,0          ,NA                   ,2.75            ,78        ,16        ,13          ,16
3206      ,03-01-2023 ,05:20:00  ,6               ,Allahabad Junction ,25.44    ,81.83     ,134           ,30.6          ,120               ,63         ,6           ,51       ,Clear             ,Tuesday     ,workday    ,0          ,NA                   ,2.34            ,93        ,10        ,10          ,21
7421      ,06-01-2023 ,03:40:00  ,1               ,Civil Lines        ,25.45    ,81.83     ,55            ,44.59         ,120               ,60         ,5           ,55       ,Clear             ,Friday      ,workday    ,0          ,NA                   ,1.14            ,35        ,7         ,4           ,9
1447      ,02-01-2023 ,00:00:00  ,7               ,Phaphamau          ,25.49    ,81.87     ,47            ,43.55         ,120               ,55         ,4           ,61       ,Clear             ,Monday      ,workday    ,0          ,NA                   ,1.11            ,26        ,9         ,2           ,10
951       ,01-01-2023 ,15:50:00  ,1               ,Civil Lines        ,25.45    ,81.83     ,58            ,37.62         ,120               ,62         ,4           ,54       ,Clear             ,Sunday      ,weekend    ,1          ,New Year Celebration ,1.38            ,35        ,7         ,9           ,7
7143      ,05-01-2023 ,23:00:00  ,3               ,Chowk              ,25.43    ,81.84     ,49            ,38.98         ,120               ,47         ,5           ,68       ,Light Rain        ,Thursday    ,workday    ,1          ,NA                   ,0.88            ,26        ,6         ,1           ,16
8124      ,06-01-2023 ,15:20:00  ,4               ,Tagore Town        ,25.47    ,81.89     ,128           ,31.87         ,120               ,66         ,6           ,48       ,Clear             ,Friday      ,workday    ,0          ,Local Market Fair    ,2.19            ,85        ,10        ,8           ,25
8857      ,07-01-2023 ,03:30:00  ,7               ,Phaphamau          ,25.49    ,81.87     ,59            ,28.34         ,120               ,55         ,5           ,60       ,Heavy Rain        ,Saturday    ,weekend    ,0          ,NA                   ,1.21            ,40        ,8         ,3           ,8
9878      ,07-01-2023 ,20:30:00  ,8               ,Jhunsi             ,25.43    ,81.91     ,223           ,26.08         ,120               ,86         ,5           ,29       ,Clear             ,Saturday    ,weekend    ,0          ,NA                   ,4.18            ,141       ,18        ,22          ,42
5486      ,04-01-2023 ,19:20:00  ,6               ,Allahabad Junction ,25.44    ,81.83     ,111           ,28.91         ,120               ,66         ,5           ,49       ,Light Rain        ,Wednesday   ,workday    ,0          ,NA                   ,2.22            ,67        ,8         ,16          ,20
1248      ,01-01-2023 ,20:40:00  ,8               ,Jhunsi             ,25.43    ,81.91     ,52            ,42.35         ,120               ,53         ,5           ,62       ,Clear             ,Sunday      ,weekend    ,1          ,NA                   ,0.74            ,34        ,2         ,3           ,13
7920      ,06-01-2023 ,11:50:00  ,10              ,Minto Park         ,25.44    ,81.88     ,141           ,29.25         ,120               ,55         ,5           ,60       ,Clear             ,Friday      ,workday    ,0          ,NA                   ,2.53            ,97        ,10        ,13          ,NA
9572      ,07-01-2023 ,15:30:00  ,2               ,Katra              ,25.46    ,81.85     ,67            ,27.55         ,120               ,53         ,4           ,63       ,Heavy Rain        ,Saturday    ,weekend    ,0          ,NA                   ,1.56            ,40        ,NA        ,5           ,11
5077      ,04-01-2023 ,12:30:00  ,7               ,Phaphamau          ,25.49    ,81.87     ,164           ,29.31         ,120               ,66         ,6           ,48       ,Clear             ,Wednesday   ,workday    ,0          ,NA                   ,3.39            ,93        ,16        ,20          ,35
41        ,01-01-2023 ,00:40:00  ,1               ,Civil Lines        ,25.45    ,81.83     ,64            ,38.84         ,120               ,60         ,7           ,53       ,Light Rain        ,Sunday      ,weekend    ,1          ,New Year Celebration ,1.24            ,38        ,8         ,3           ,15
1658      ,02-01-2023 ,03:30:00  ,8               ,Jhunsi             ,25.43    ,81.91     ,144           ,29.51         ,120               ,57         ,4           ,59       ,Clear             ,Monday      ,workday    ,0          ,NA                   ,3.09            ,86        ,19        ,12          ,27
NA        ,04-01-2023 ,13:10:00  ,5               ,Naini Bridge       ,25.41    ,81.86     ,178           ,13.77         ,120               ,84         ,5           ,31       ,Cold Wave         ,Wednesday   ,workday    ,0          ,Accident             ,3.37            ,113       ,14        ,19          ,32
7501      ,06-01-2023 ,05:00:00  ,1               ,Civil Lines        ,25.45    ,81.83     ,43            ,37.58         ,120               ,62         ,5           ,53       ,Fog               ,Friday      ,workday    ,0          ,NA                   ,0.73            ,23        ,2         ,5           ,13
1932      ,02-01-2023 ,08:10:00  ,2               ,Katra              ,25.46    ,81.85     ,149           ,29.48         ,120               ,56         ,5           ,59       ,Clear             ,Monday      ,workday    ,0          ,NA                   ,3.13            ,83        ,16        ,17          ,33
7648      ,06-01-2023 ,07:20:00  ,8               ,Jhunsi             ,25.43    ,81.91     ,172           ,29.76         ,120               ,75         ,6           ,39       ,Clear             ,Friday      ,workday    ,0          ,NA                   ,3.53            ,98        ,22        ,12          ,40
7748      ,06-01-2023 ,09:00:00  ,8               ,Jhunsi             ,25.43    ,81.91     ,171           ,28.8          ,120               ,81         ,4           ,35       ,Clear             ,Friday      ,workday    ,0          ,NA                   ,3.61            ,108       ,21        ,15          ,27
3085      ,03-01-2023 ,03:20:00  ,5               ,Naini Bridge       ,25.41    ,81.86     ,99            ,35.09         ,120               ,61         ,4           ,55       ,Clear             ,Tuesday     ,workday    ,0          ,NA                   ,1.92            ,61        ,12        ,5           ,21
7381      ,06-01-2023 ,03:00:00  ,1               ,Civil Lines        ,25.45    ,81.83     ,139           ,28.65         ,NA                ,68         ,4           ,48       ,Clear             ,Friday      ,workday    ,0          ,NA                   ,2.97            ,79        ,20        ,9           ,31
7724      ,06-01-2023 ,08:40:00  ,4               ,Tagore Town        ,25.47    ,81.89     ,218           ,25.88         ,120               ,79         ,4           ,37       ,Clear             ,Friday      ,workday    ,0          ,Local Market Fair    ,4.34            ,130       ,17        ,29          ,42
9822      ,07-01-2023 ,19:40:00  ,2               ,Katra              ,25.46    ,81.85     ,187           ,27.34         ,120               ,85         ,4           ,31       ,Clear             ,Saturday    ,weekend    ,0          ,NA                   ,3.32            ,115       ,11        ,21          ,40
4686      ,04-01-2023 ,06:00:00  ,6               ,Allahabad Junction ,25.44    ,81.83     ,75            ,38.93         ,120               ,63         ,4           ,53       ,Clear             ,Wednesday   ,workday    ,0          ,NA                   ,1.54            ,45        ,9         ,6           ,15
5161      ,04-01-2023 ,14:00:00  ,1               ,Civil Lines        ,25.45    ,81.83     ,74            ,31.6          ,120               ,64         ,5           ,51       ,Light Rain        ,Wednesday   ,workday    ,0          ,NA                   ,1.03            ,50        ,2         ,5           ,17
10        ,01-01-2023 ,00:00:00  ,10              ,Minto Park         ,25.44    ,81.88     ,77            ,39.83         ,120               ,60         ,5           ,55       ,Clear             ,Sunday      ,weekend    ,1          ,NA                   ,1.44            ,46        ,6         ,8           ,17
